Company,Female,Male,White,Asian,Latino,Black,Multi,Other,Undeclared,,notes,,,,,,,,
Company,Female %,Male %,% White,% Asian,% Latino,% Black,% Multi,% Other,% Undeclared,,data date,In most cases gender data are global while ethnicity data are US only. Note - data don't always sum because of rounding.,Data for parent company - if no data,,Source,Link,Link,Employees,source link
Amazon,37,63,60,13,9,15,-,3,-,,July 2014,,,,Amazon,http://www.amazon.com/b/ref=tb_surl_diversity/?node=10080092011,,"88,400.00",http://www.amazon.com/Inside-Careers-Homepage/b?node=239367011
Salesforce,29,71,67,22,4,2,2,3,-,,June 2014,,,,Salesforce,http://www.salesforce.com/company/careers/diversity-numbers.jsp,,,
Pandora,49,51,71,12,7,3,6,1,-,,August 2014,,,,Pandora,http://www.pandora.com/careers/#diversity,,,
Microsoft,29,71,61,29,5,4,1,1,-,,30 September 2014,,,,Microsoft,http://www.microsoft.com/en-us/diversity/inside-microsoft/default.aspx#fbid=ZWJBwYZJM6G?epgDivFocusArea,,,
,,,,,,,,,-,,,,,,,,,,
average from our sample,34,66,60,26,6,4,4,2,-,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
comparison,,,,,,,,,,,,,,,,,,,
DiversityInc top 50,54,46,68,10,10,12,-,-,-,,,,,,,http://www.diversityinc.com/news/apples-diversity-data-better-representation-blacks-latinos/,,,
Fortune 500 CEOs,4.8,95,83 estimated,1.8,2,1.2,-,-,-,,,assumed 1% for mixed & other to create 83% white total,,,,,,,http://www.diversityinc.com/diversity-facts/wheres-the-diversity-in-fortune-500-ceos/
Kaiser Permanente,76,24,48 estimated,20,18,13,-,-,-,,,,,,,,,,http://www.diversityinc.com/top-10-companies-recruitment/
US Congress,19,81,80 estimated,5.6,6,8,-,-,-,,,,,,,http://www.diversityinc.com/diversity-and-inclusion/most-diverse-congress-sworn-in/,,,
Venture Capitalists,11,89,87,9,2,2,2,-,-,,,,,,,http://www.diversityinc.com/diversity-recruitment/where%E2%80%99s-the-diversity-in-the-venture-capital-industry/,,,
